Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification,Revenue_USD,Vehicle_Age,Price_Range,Mileage_Range
X6,2023,Africa,White,Hybrid,Automatic,2.8,84367,112542,7933,High,892795686,1,Luxury,Medium
I3,2012,Asia,White,Hybrid,Manual,3.9,193905,93508,8438,High,789020504,12,Premium,Very High
X3,2021,Asia,Silver,Hybrid,Automatic,3.8,57759,119692,6782,Low,811751144,3,Luxury,Medium
M3,2016,Africa,Black,Hybrid,Manual,1.5,113832,49278,3153,Low,155373534,8,Mid-Range,High
I8,2013,Middle East,White,Petrol,Manual,3.1,42427,44269,5887,Low,260611603,11,Mid-Range,Low
I3,2018,South America,Red,Petrol,Manual,4.1,1428,46127,608,Low,28045216,6,Mid-Range,Low
I8,2012,Middle East,Red,Diesel,Automatic,3.2,110845,100747,3291,Low,331558377,12,Luxury,High
M5,2014,South America,Red,Electric,Automatic,4.2,125379,96739,3754,Low,363158206,10,Premium,High
X5,2012,Middle East,Black,Petrol,Manual,3.1,107014,57537,4125,Low,237340125,12,Mid-Range,High
X6,2016,South America,Silver,Hybrid,Automatic,4.9,180186,46263,9762,High,451619406,8,Mid-Range,Very High
M3,2014,Europe,Red,Electric,Manual,2.5,74474,65464,9390,High,614706960,10,Premium,Medium
3 Series,2018,Africa,Black,Electric,Manual,1.8,117061,54762,3293,Low,180331266,6,Mid-Range,High
M3,2016,South America,Grey,Electric,Automatic,3.0,102675,93915,9470,High,889375050,8,Premium,High
X6,2011,Middle East,Blue,Diesel,Automatic,3.4,27706,117237,5425,Low,636010725,13,Luxury,Low
I8,2013,South America,Black,Diesel,Manual,2.7,150761,34193,425,Low,14532025,11,Mid-Range,Very High
X6,2018,Asia,Red,Electric,Manual,2.3,10027,89970,4935,Low,444001950,6,Premium,Low
3 Series,2021,North America,Black,Hybrid,Automatic,3.9,87632,65089,660,Low,42958740,3,Premium,Medium
3 Series,2023,Europe,Black,Electric,Manual,2.8,128295,86402,4266,Low,368590932,1,Premium,High
M3,2011,Asia,Red,Diesel,Automatic,3.7,40915,44322,2191,Low,97109502,13,Mid-Range,Low
X3,2019,Asia,Silver,Electric,Automatic,4.2,88705,111352,1932,Low,215132064,5,Luxury,Medium
7 Series,2018,Middle East,Blue,Petrol,Manual,4.2,94859,50620,6962,Low,352416440,6,Mid-Range,Medium
3 Series,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950,1703,Low,76549850,5,Mid-Range,Very High
X6,2014,Europe,Grey,Diesel,Manual,3.5,178427,101523,8589,High,871981047,10,Luxury,Very High
5 Series,2011,Middle East,Red,Hybrid,Automatic,3.1,139212,31815,2011,Low,63979965,13,Mid-Range,High
7 Series,2013,Asia,Red,Hybrid,Manual,4.5,144832,118363,1564,Low,185119732,11,Luxury,High
I3,2021,South America,Red,Electric,Manual,4.6,107985,43355,945,Low,40970475,3,Mid-Range,High
X1,2024,Europe,Red,Petrol,Automatic,2.7,24141,84346,4289,Low,361759994,0,Premium,Low
I3,2021,North America,Silver,Electric,Automatic,1.8,112862,66155,3748,Low,247948940,3,Premium,High
X1,2016,Europe,Black,Petrol,Manual,2.1,37975,101753,3476,Low,353693428,8,Luxury,Low
X3,2021,North America,Grey,Electric,Manual,2.8,75480,68274,5759,Low,393189966,3,Premium,Medium
X3,2022,Middle East,Grey,Petrol,Manual,3.5,52217,78144,9420,High,736116480,2,Premium,Medium
M3,2017,North America,Grey,Hybrid,Automatic,3.8,24291,87604,9797,High,858256388,7,Premium,Low
M5,2024,North America,Black,Diesel,Manual,2.7,143885,90388,7944,High,718042272,0,Premium,High
7 Series,2012,South America,Silver,Petrol,Manual,3.8,93073,102551,6709,Low,688014659,12,Luxury,Medium
7 Series,2023,North America,Grey,Diesel,Automatic,4.8,64153,117121,4823,Low,564874583,1,Luxury,Medium
X6,2010,Europe,Red,Hybrid,Manual,3.8,128477,68106,1048,Low,71375088,14,Premium,High
I8,2013,Middle East,Grey,Petrol,Manual,2.1,119491,78729,9545,High,751468305,11,Premium,High
M5,2011,North America,Grey,Hybrid,Automatic,3.5,94375,71912,2167,Low,155833304,13,Premium,Medium
M5,2017,South America,White,Petrol,Manual,3.4,190609,94286,3140,Low,296058040,7,Premium,Very High
X6,2013,South America,White,Hybrid,Manual,4.5,94915,50923,7821,High,398268783,11,Mid-Range,Medium
I8,2011,Middle East,Grey,Diesel,Automatic,2.7,144698,37887,2085,Low,78994395,13,Mid-Range,High
X3,2023,Europe,Red,Hybrid,Manual,3.0,12922,101473,8030,High,814828190,1,Luxury,Low
I8,2015,Middle East,Black,Electric,Manual,3.6,46176,96965,5409,Low,524483685,9,Premium,Low
X5,2015,Middle East,Black,Hybrid,Automatic,3.3,121271,76799,4367,Low,335381233,9,Premium,High
X3,2019,North America,Silver,Hybrid,Automatic,4.0,189804,119927,1472,Low,176532544,5,Luxury,Very High
I3,2013,Africa,Black,Diesel,Manual,1.6,192509,72385,455,Low,32935175,11,Premium,Very High
I3,2015,Asia,Silver,Electric,Manual,3.5,68161,63696,7218,High,459757728,9,Premium,Medium
X6,2022,Asia,White,Electric,Manual,1.9,182027,35951,3389,Low,121837939,2,Mid-Range,Very High
X5,2024,Asia,Blue,Hybrid,Automatic,2.6,120597,95900,8581,High,822917900,0,Premium,High
I8,2011,Europe,Red,Hybrid,Automatic,3.8,184765,44846,1431,Low,64174626,13,Mid-Range,Very High
X5,2019,Africa,Blue,Electric,Manual,2.1,161177,95908,2775,Low,266144700,5,Premium,Very High
X1,2021,Asia,Silver,Diesel,Manual,2.6,84621,119897,4601,Low,551646097,3,Luxury,Medium
3 Series,2011,Middle East,Red,Hybrid,Automatic,4.0,22280,55612,6698,Low,372489176,13,Mid-Range,Low
M5,2019,Europe,Black,Diesel,Manual,3.8,127689,72188,6056,Low,437170528,5,Premium,High
I3,2023,Africa,Grey,Hybrid,Manual,1.8,73990,89587,6301,Low,564487687,1,Premium,Medium
M5,2013,Asia,Red,Diesel,Automatic,3.5,17838,46231,8734,High,403781554,11,Mid-Range,Low
X1,2023,Middle East,Silver,Diesel,Manual,2.0,172729,85801,8644,High,741663844,1,Premium,Very High
7 Series,2024,North America,Grey,Electric,Manual,2.4,80659,92213,5456,Low,503114128,0,Premium,Medium
7 Series,2024,Africa,Blue,Diesel,Automatic,3.1,132686,42013,8472,High,355934136,0,Mid-Range,High
I8,2017,Asia,Grey,Petrol,Automatic,1.9,146940,50942,5940,Low,302595480,7,Mid-Range,High
7 Series,2023,Europe,Red,Electric,Manual,5.0,50602,83812,2241,Low,187822692,1,Premium,Medium
7 Series,2016,Africa,Grey,Petrol,Automatic,2.1,49521,93993,8663,High,814261359,8,Premium,Low
X3,2021,Africa,Blue,Electric,Automatic,4.2,169825,30158,8293,High,250100294,3,Mid-Range,Very High
I8,2018,Europe,Black,Petrol,Automatic,4.4,193467,102279,8445,High,863746155,6,Luxury,Very High
I3,2023,North America,Silver,Electric,Manual,5.0,190643,36081,190,Low,6855390,1,Mid-Range,Very High
7 Series,2017,Middle East,Grey,Petrol,Automatic,3.0,112754,93431,7462,High,697182122,7,Premium,High
M3,2014,Middle East,Blue,Diesel,Manual,4.6,42711,40950,8339,High,341482050,10,Mid-Range,Low
I8,2022,South America,Grey,Diesel,Automatic,4.9,103105,66212,4055,Low,268489660,2,Premium,High
5 Series,2011,Europe,White,Petrol,Automatic,2.1,146963,90224,3683,Low,332294992,13,Premium,High
3 Series,2024,South America,Grey,Hybrid,Automatic,3.2,144152,49557,1180,Low,58477260,0,Mid-Range,High
X6,2014,Europe,Blue,Diesel,Automatic,1.7,105592,100663,9100,High,916033300,10,Luxury,High
X5,2017,South America,Grey,Petrol,Manual,3.7,31779,83059,6844,Low,568455796,7,Premium,Low
M5,2019,Asia,Blue,Petrol,Manual,3.5,154626,45389,8882,High,403145098,5,Mid-Range,Very High
X6,2018,North America,Red,Diesel,Automatic,2.2,162862,36520,2914,Low,106419280,6,Mid-Range,Very High
3 Series,2021,Africa,Grey,Diesel,Manual,4.3,170208,40194,4548,Low,182802312,3,Mid-Range,Very High
5 Series,2021,Asia,Blue,Electric,Manual,1.6,140059,82668,271,Low,22403028,3,Premium,High
X3,2021,Middle East,Grey,Electric,Automatic,4.3,63050,107348,2451,Low,263109948,3,Luxury,Medium
7 Series,2022,North America,Silver,Petrol,Automatic,1.6,123623,52099,4212,Low,219440988,2,Mid-Range,High
X5,2018,Middle East,Black,Petrol,Manual,3.8,159629,117084,3275,Low,383450100,6,Luxury,Very High
M3,2022,Asia,Blue,Diesel,Manual,1.8,189688,38811,7337,High,284756307,2,Mid-Range,Very High
X6,2024,North America,White,Petrol,Manual,2.4,120004,109733,8345,High,915721885,0,Luxury,High
X3,2022,Asia,Black,Diesel,Manual,4.0,160878,53997,2162,Low,116741514,2,Mid-Range,Very High
I8,2010,North America,White,Electric,Automatic,2.5,75457,101282,8396,High,850363672,14,Luxury,Medium
5 Series,2018,Middle East,Grey,Petrol,Automatic,3.3,45371,87345,1299,Low,113461155,6,Premium,Low
X5,2016,Europe,Silver,Petrol,Automatic,4.7,182118,64095,3880,Low,248688600,8,Premium,Very High
X6,2018,Europe,Silver,Hybrid,Manual,1.7,10316,117764,5637,Low,663835668,6,Luxury,Low
X5,2017,South America,Red,Petrol,Automatic,4.3,169491,40275,8394,High,338068350,7,Mid-Range,Very High
X6,2010,Africa,Silver,Petrol,Manual,1.7,176650,33796,5935,Low,200579260,14,Mid-Range,Very High
7 Series,2021,South America,Blue,Petrol,Automatic,1.9,68969,111071,5908,Low,656207468,3,Luxury,Medium
X6,2017,South America,Red,Hybrid,Manual,1.9,111235,39627,3147,Low,124706169,7,Mid-Range,High
M5,2017,Asia,Blue,Diesel,Manual,5.0,51891,103316,1732,Low,178943312,7,Luxury,Medium
I3,2024,South America,White,Hybrid,Automatic,2.1,197241,106619,719,Low,76659061,0,Luxury,Very High
I3,2020,South America,Grey,Hybrid,Automatic,4.6,47754,36666,1460,Low,53532360,4,Mid-Range,Low
M5,2012,Europe,Black,Electric,Manual,5.0,86899,56202,3235,Low,181813470,12,Mid-Range,Medium
M5,2010,South America,White,Diesel,Manual,2.8,121393,108152,7139,High,772097128,14,Luxury,High
I3,2017,North America,Silver,Hybrid,Manual,3.7,70038,102447,2694,Low,275992218,7,Luxury,Medium
X5,2012,North America,White,Petrol,Automatic,4.2,172752,85983,3403,Low,292600149,12,Premium,Very High
I3,2012,Africa,Blue,Petrol,Automatic,2.9,93629,99958,8216,High,821254928,12,Premium,Medium
3 Series,2010,Asia,Black,Petrol,Manual,2.1,107572,86660,8650,High,749609000,14,Premium,High
3 Series,2020,North America,Silver,Hybrid,Automatic,3.0,158046,78509,8070,High,633567630,4,Premium,Very High
X6,2014,Middle East,Black,Electric,Automatic,4.2,3374,84798,169,Low,14330862,10,Premium,Low
5 Series,2019,South America,Red,Hybrid,Manual,4.2,132625,88464,6353,Low,562011792,5,Premium,High
I3,2016,North America,Black,Petrol,Manual,2.3,91458,33185,8634,High,286519290,8,Mid-Range,Medium
M5,2019,Europe,Red,Hybrid,Automatic,2.1,252,66606,1684,Low,112164504,5,Premium,Low
7 Series,2018,Middle East,Black,Electric,Automatic,4.7,38502,85604,5312,Low,454728448,6,Premium,Low
M3,2021,North America,Grey,Diesel,Manual,1.7,54226,116198,7059,High,820241682,3,Luxury,Medium
X1,2016,Africa,Grey,Petrol,Manual,4.1,172950,119996,9620,High,1154361520,8,Luxury,Very High
3 Series,2018,Asia,White,Hybrid,Automatic,1.7,19899,50651,8157,High,413160207,6,Mid-Range,Low
7 Series,2017,Europe,White,Petrol,Manual,4.4,185687,106473,8666,High,922695018,7,Luxury,Very High
X1,2021,Africa,Red,Hybrid,Automatic,4.7,190652,41920,2600,Low,108992000,3,Mid-Range,Very High
5 Series,2011,Europe,Black,Diesel,Automatic,2.5,116859,103384,9334,High,964986256,13,Luxury,High
5 Series,2010,Europe,Red,Petrol,Manual,1.8,194101,34120,1344,Low,45857280,14,Mid-Range,Very High
5 Series,2016,Europe,Silver,Petrol,Manual,3.2,167770,119412,8291,High,990044892,8,Luxury,Very High
X3,2016,South America,Blue,Diesel,Manual,2.5,143519,34749,7553,High,262459197,8,Mid-Range,High
M5,2023,Asia,Red,Electric,Manual,3.0,130509,94884,9645,High,915156180,1,Premium,High
3 Series,2017,Europe,Grey,Petrol,Manual,3.8,89365,86684,9474,High,821244216,7,Premium,Medium
X3,2014,Middle East,Black,Petrol,Manual,2.2,80167,60899,8000,High,487192000,10,Premium,Medium
5 Series,2012,Asia,Red,Diesel,Automatic,2.7,124260,39501,6584,Low,260074584,12,Mid-Range,High
7 Series,2021,Europe,Black,Diesel,Automatic,4.2,83191,60731,6249,Low,379508019,3,Premium,Medium
I8,2017,Middle East,Grey,Petrol,Manual,3.8,110899,71690,1697,Low,121657930,7,Premium,High
I3,2015,Middle East,Red,Diesel,Manual,2.6,67021,58894,6072,Low,357604368,9,Mid-Range,Medium
3 Series,2020,South America,Black,Electric,Automatic,3.8,55451,79774,1142,Low,91101908,4,Premium,Medium
7 Series,2012,North America,Silver,Hybrid,Automatic,4.2,178603,42764,9856,High,421481984,12,Mid-Range,Very High
I3,2010,Africa,Blue,Petrol,Manual,3.6,91061,45834,7607,High,348659238,14,Mid-Range,Medium
X3,2012,North America,White,Diesel,Automatic,2.3,121703,116468,8333,High,970527844,12,Luxury,High
M5,2014,Africa,Red,Petrol,Manual,1.5,88800,59448,3877,Low,230479896,10,Mid-Range,Medium
3 Series,2024,Africa,Grey,Electric,Manual,4.3,69653,113482,4956,Low,562416792,0,Luxury,Medium
X5,2023,South America,Black,Diesel,Manual,4.4,183143,86846,5598,Low,486163908,1,Premium,Very High
X1,2012,Europe,Silver,Electric,Manual,3.9,63716,74494,6791,Low,505888754,12,Premium,Medium
I3,2010,Africa,Blue,Diesel,Manual,1.8,120482,101137,968,Low,97900616,14,Luxury,High
X1,2014,South America,Blue,Hybrid,Automatic,3.5,148268,109617,8217,High,900722889,10,Luxury,High
3 Series,2019,Africa,Silver,Electric,Manual,4.4,33051,108637,5548,Low,602718076,5,Luxury,Low
M5,2016,Asia,Silver,Diesel,Automatic,2.9,163812,88181,148,Low,13050788,8,Premium,Very High
3 Series,2024,South America,Blue,Hybrid,Automatic,2.2,69698,79650,6447,Low,513503550,0,Premium,Medium
X3,2023,South America,White,Petrol,Automatic,3.6,156141,51627,6673,Low,344506971,1,Mid-Range,Very High
X5,2016,North America,Silver,Hybrid,Automatic,4.4,118309,99967,8127,High,812431809,8,Premium,High
X6,2020,Europe,Silver,Diesel,Automatic,1.7,64180,32120,9970,High,320236400,4,Mid-Range,Medium
I3,2018,Asia,Blue,Hybrid,Manual,3.6,198246,91547,9832,High,900090104,6,Premium,Very High
X1,2024,Asia,Grey,Hybrid,Automatic,3.8,198285,102818,3880,Low,398933840,0,Luxury,Very High
5 Series,2024,Middle East,Grey,Petrol,Manual,3.6,120789,49279,9951,High,490375329,0,Mid-Range,High
5 Series,2019,Middle East,Black,Petrol,Automatic,3.8,178723,36571,7403,High,270735113,5,Mid-Range,Very High
I8,2019,Middle East,Silver,Diesel,Manual,3.7,124371,96066,8537,High,820115442,5,Premium,High
X3,2021,Europe,Blue,Hybrid,Manual,2.0,126258,32119,4249,Low,136473631,3,Mid-Range,High
7 Series,2022,Middle East,Blue,Diesel,Automatic,2.3,126953,57691,271,Low,15634261,2,Mid-Range,High
3 Series,2012,South America,Blue,Petrol,Manual,3.7,78678,96429,6974,Low,672495846,12,Premium,Medium
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,2922,Low,329145768,0,Luxury,Very High
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,3433,Low,168251330,8,Mid-Range,Medium
X5,2010,Asia,White,Petrol,Automatic,3.8,35565,39793,6620,Low,263429660,14,Mid-Range,Low
3 Series,2013,South America,Black,Electric,Automatic,2.3,173100,101189,1476,Low,149354964,11,Luxury,Very High
3 Series,2022,South America,Red,Electric,Automatic,3.6,68978,107968,4129,Low,445799872,2,Luxury,Medium
I3,2013,Asia,Black,Petrol,Automatic,3.4,115144,51327,9128,High,468512856,11,Mid-Range,High
3 Series,2023,Asia,Grey,Diesel,Manual,2.4,58991,84635,3507,Low,296814945,1,Premium,Medium
X1,2014,Europe,Blue,Hybrid,Manual,3.1,48040,77484,9106,High,705569304,10,Premium,Low
3 Series,2016,Europe,White,Electric,Automatic,4.7,149253,71328,3222,Low,229818816,8,Premium,High
X5,2016,Africa,White,Electric,Manual,3.0,146541,72024,9331,High,672055944,8,Premium,High
X5,2022,Africa,White,Electric,Automatic,3.7,123227,72436,5761,Low,417303796,2,Premium,High
I3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,6920,Low,650459240,0,Premium,Low
5 Series,2020,South America,Blue,Electric,Manual,1.8,18642,53862,6897,Low,371486214,4,Mid-Range,Low
X3,2022,Africa,Black,Petrol,Manual,1.8,10590,105924,5139,Low,544343436,2,Luxury,Low
M5,2013,North America,Grey,Petrol,Manual,4.2,31068,62719,1396,Low,87555724,11,Premium,Low
X3,2022,Europe,Black,Petrol,Manual,2.7,197678,49919,491,Low,24510229,2,Mid-Range,Very High
3 Series,2016,Africa,Black,Petrol,Automatic,2.3,189931,71591,6640,Low,475364240,8,Premium,Very High
X5,2020,Europe,Blue,Diesel,Manual,4.1,127392,86328,8960,High,773498880,4,Premium,High
X1,2012,Middle East,White,Electric,Automatic,2.1,180074,42552,5542,Low,235823184,12,Mid-Range,Very High
3 Series,2015,Europe,Red,Hybrid,Manual,2.4,191042,89156,7342,High,654583352,9,Premium,Very High
X1,2021,South America,Grey,Diesel,Automatic,3.0,37616,79927,1057,Low,84482839,3,Premium,Low
M3,2011,South America,White,Petrol,Automatic,2.7,75468,39495,7431,High,293487345,13,Mid-Range,Medium
M5,2019,Europe,Red,Petrol,Automatic,3.5,46076,38271,6150,Low,235366650,5,Mid-Range,Low
X3,2022,North America,Grey,Electric,Manual,2.7,21607,74435,9536,High,709812160,2,Premium,Low
X3,2023,Asia,Blue,Petrol,Automatic,2.9,87564,103988,5141,Low,534602308,1,Luxury,Medium
M3,2018,Asia,Silver,Electric,Manual,4.5,66023,73953,1659,Low,122688027,6,Premium,Medium
X3,2014,South America,White,Hybrid,Manual,4.6,195047,106673,4699,Low,501256427,10,Luxury,Very High
M3,2015,Africa,Blue,Diesel,Manual,4.4,152887,42738,6588,Low,281557944,9,Mid-Range,Very High
X3,2021,Asia,Grey,Hybrid,Manual,4.5,122956,53097,1474,Low,78264978,3,Mid-Range,High
X6,2021,South America,Blue,Petrol,Automatic,3.5,27659,60936,2428,Low,147952608,3,Premium,Low
3 Series,2021,Asia,White,Hybrid,Manual,3.8,157700,87186,5065,Low,441597090,3,Premium,Very High
5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,38861,9087,High,353129907,3,Mid-Range,High
3 Series,2013,Asia,Silver,Hybrid,Automatic,4.2,10678,33086,5817,Low,192461262,11,Mid-Range,Low
X1,2023,Asia,White,Hybrid,Automatic,3.4,84606,89868,3445,Low,309595260,1,Premium,Medium
X5,2023,Asia,Silver,Electric,Automatic,1.9,34635,87087,3372,Low,293657364,1,Premium,Low
I8,2020,North America,Blue,Electric,Manual,4.3,191305,70057,7327,High,513307639,4,Premium,Very High
X3,2019,Middle East,Grey,Electric,Manual,4.2,17934,111173,808,Low,89827784,5,Luxury,Low
X1,2016,Middle East,Blue,Diesel,Automatic,4.4,157249,56309,3076,Low,173206484,8,Mid-Range,Very High
X1,2021,North America,Grey,Petrol,Automatic,2.2,184417,76909,6636,Low,510368124,3,Premium,Very High
7 Series,2018,Asia,Red,Hybrid,Manual,2.5,31798,58752,3606,Low,211859712,6,Mid-Range,Low
I8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,1206,Low,99431082,8,Premium,High
X1,2023,Asia,Silver,Petrol,Manual,3.3,66862,80705,7058,High,569615890,1,Premium,Medium
I8,2010,South America,Red,Hybrid,Automatic,2.0,49903,92666,9368,High,868095088,14,Premium,Low
7 Series,2010,Asia,White,Petrol,Automatic,2.8,28668,65268,2069,Low,135039492,14,Premium,Low
I8,2018,Asia,Red,Petrol,Manual,2.1,61031,116846,6121,Low,715214366,6,Luxury,Medium
X6,2020,South America,Blue,Diesel,Automatic,2.4,135437,114860,9792,High,1124709120,4,Luxury,High
X5,2023,North America,Blue,Hybrid,Manual,4.0,83959,43850,9612,High,421486200,1,Mid-Range,Medium
7 Series,2018,Africa,Silver,Electric,Manual,4.5,198286,96859,8022,High,777002898,6,Premium,Very High
X6,2013,Asia,Red,Petrol,Automatic,1.6,74914,107293,3205,Low,343874065,11,Luxury,Medium
M5,2022,North America,Black,Petrol,Automatic,3.5,56293,58700,249,Low,14616300,2,Mid-Range,Medium
X3,2018,Africa,Silver,Hybrid,Automatic,1.6,60574,62253,7350,High,457559550,6,Premium,Medium
X1,2012,North America,Black,Electric,Manual,1.8,80289,100980,3581,Low,361609380,12,Luxury,Medium
M5,2016,North America,Silver,Electric,Automatic,4.0,67272,78120,381,Low,29763720,8,Premium,Medium
M5,2015,North America,White,Petrol,Manual,4.1,54534,94839,3880,Low,367975320,9,Premium,Medium
3 Series,2017,North America,Blue,Petrol,Manual,4.3,86002,100678,2815,Low,283408570,7,Luxury,Medium
5 Series,2020,Europe,Blue,Diesel,Manual,3.2,165669,38170,9239,High,352652630,4,Mid-Range,Very High
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,1036,Low,81880260,6,Premium,High
3 Series,2023,South America,White,Petrol,Automatic,2.1,190846,56836,5315,Low,302083340,1,Mid-Range,Very High
M3,2014,Africa,Black,Hybrid,Manual,2.4,180096,33093,2976,Low,98484768,10,Mid-Range,Very High
X3,2010,North America,Black,Electric,Manual,2.0,191879,50319,1311,Low,65968209,14,Mid-Range,Very High
X1,2012,Africa,White,Electric,Automatic,4.3,185093,108905,5952,Low,648202560,12,Luxury,Very High
I8,2019,Africa,Silver,Hybrid,Manual,2.3,187214,31212,3778,Low,117918936,5,Mid-Range,Very High
3 Series,2021,South America,Black,Electric,Automatic,2.0,162323,72641,4298,Low,312211018,3,Premium,Very High
5 Series,2017,Europe,Silver,Electric,Manual,3.7,69712,82957,8127,High,674191539,7,Premium,Medium
M3,2024,Africa,White,Hybrid,Manual,1.8,2655,91248,8772,High,800427456,0,Premium,Low
X3,2020,Asia,Silver,Hybrid,Manual,1.7,66746,113110,3430,Low,387967300,4,Luxury,Medium
