Date_Key,Model_Key,Region_Key,Vehicle_Key,Sales_Class_Key,Sales_Volume,Price_USD,Revenue_USD,Engine_Size_L,Mileage_KM,Vehicle_Age
2,11,4,32,1,7821,50923,398268783,4.5,94915,11
11,2,3,44,2,2085,37887,78994395,2.7,144698,13
13,3,5,22,1,8030,101473,814828190,3.0,12922,1
10,2,3,36,2,5409,96965,524483685,3.6,46176,9
10,9,3,23,2,4367,76799,335381233,3.3,121271,9
8,3,2,33,2,1472,119927,176532544,4.0,189804,5
2,10,6,4,2,455,72385,32935175,1.6,192509,11
10,10,1,16,1,7218,63696,459757728,3.5,68161,9
3,11,1,9,2,3389,35951,121837939,1.9,182027,2
4,9,1,45,1,8581,95900,822917900,2.6,120597,0
11,2,5,2,2,1431,44846,64174626,3.8,184765,13
8,9,6,14,2,2775,95908,266144700,2.1,161177,5
12,7,1,5,2,4601,119897,551646097,2.6,84621,3
11,6,3,2,2,6698,55612,372489176,4.0,22280,13
8,5,5,4,2,6056,72188,437170528,3.8,127689,5
13,10,6,25,2,6301,89587,564487687,1.8,73990,1
2,5,1,15,1,8734,46231,403781554,3.5,17838,11
13,7,3,5,1,8644,85801,741663844,2.0,172729,1
4,4,2,40,2,5456,92213,503114128,2.4,80659,0
4,4,6,30,1,8472,42013,355934136,3.1,132686,0
6,2,1,26,2,5940,50942,302595480,1.9,146940,7
13,4,5,35,2,2241,83812,187822692,5.0,50602,1
1,4,6,26,1,8663,93993,814261359,2.1,49521,8
12,3,6,46,1,8293,30158,250100294,4.2,169825,3
15,2,5,19,1,8445,102279,863746155,4.4,193467,6
13,10,2,16,2,190,36081,6855390,5.0,190643,1
6,4,3,26,1,7462,93431,697182122,3.0,112754,7
7,8,3,47,1,8339,40950,341482050,4.6,42711,10
3,2,4,44,2,4055,66212,268489660,4.9,103105,2
11,1,5,48,2,3683,90224,332294992,2.1,146963,13
4,6,4,42,2,1180,49557,58477260,3.2,144152,0
7,11,5,30,1,9100,100663,916033300,1.7,105592,10
6,9,4,41,2,6844,83059,568455796,3.7,31779,7
8,5,1,38,1,8882,45389,403145098,3.5,154626,5
15,11,2,15,2,2914,36520,106419280,2.2,162862,6
12,6,6,39,2,4548,40194,182802312,4.3,170208,3
12,1,1,14,2,271,82668,22403028,1.6,140059,3
12,3,3,18,2,2451,107348,263109948,4.3,63050,3
3,4,2,31,2,4212,52099,219440988,1.6,123623,2
15,9,3,27,2,3275,117084,383450100,3.8,159629,6
3,8,1,47,1,7337,38811,284756307,1.8,189688,2
4,11,2,17,1,8345,109733,915721885,2.4,120004,0
3,3,1,4,2,2162,53997,116741514,4.0,160878,2
14,2,2,21,1,8396,101282,850363672,2.5,75457,14
15,1,3,26,2,1299,87345,113461155,3.3,45371,6
1,9,5,31,2,3880,64095,248688600,4.7,182118,8
15,11,5,13,2,5637,117764,663835668,1.7,10316,6
6,9,4,28,1,8394,40275,338068350,4.3,169491,7
14,11,6,43,2,5935,33796,200579260,1.7,176650,14
12,4,4,3,2,5908,111071,656207468,1.9,68969,3
6,11,4,22,2,3147,39627,124706169,1.9,111235,7
6,5,1,47,2,1732,103316,178943312,5.0,51891,7
4,10,4,24,2,719,106619,76659061,2.1,197241,0
5,10,4,42,2,1460,36666,53532360,4.6,47754,4
9,5,5,36,2,3235,56202,181813470,5.0,86899,12
14,5,4,6,1,7139,108152,772097128,2.8,121393,14
6,10,2,13,2,2694,102447,275992218,3.7,70038,7
9,9,2,48,2,3403,85983,292600149,4.2,172752,12
9,10,6,3,1,8216,99958,821254928,2.9,93629,12
14,6,1,27,1,8650,86660,749609000,2.1,107572,14
5,6,2,33,1,8070,78509,633567630,3.0,158046,4
7,11,3,12,2,169,84798,14330862,4.2,3374,10
8,1,4,22,2,6353,88464,562011792,4.2,132625,5
1,10,2,27,1,8634,33185,286519290,2.3,91458,8
8,5,5,2,2,1684,66606,112164504,2.1,252,5
15,4,3,12,2,5312,85604,454728448,4.7,38502,6
12,8,2,39,1,7059,116198,820241682,1.7,54226,3
1,7,6,41,1,9620,119996,1154361520,4.1,172950,8
15,6,1,24,1,8157,50651,413160207,1.7,19899,6
6,4,5,17,1,8666,106473,922695018,4.4,185687,7
12,7,6,2,2,2600,41920,108992000,4.7,190652,3
11,1,5,7,1,9334,103384,964986256,2.5,116859,13
14,1,5,1,2,1344,34120,45857280,1.8,194101,14
1,1,5,43,1,8291,119412,990044892,3.2,167770,8
1,3,4,47,1,7553,34749,262459197,2.5,143519,8
13,5,1,35,1,9645,94884,915156180,3.0,130509,1
6,6,5,41,1,9474,86684,821244216,3.8,89365,7
7,3,3,27,1,8000,60899,487192000,2.2,80167,10
9,1,1,15,2,6584,39501,260074584,2.7,124260,12
12,4,5,7,2,6249,60731,379508019,4.2,83191,3
6,2,3,41,2,1697,71690,121657930,3.8,110899,7
10,10,3,20,2,6072,58894,357604368,2.6,67021,9
5,6,4,12,2,1142,79774,91101908,3.8,55451,4
9,4,2,33,1,9856,42764,421481984,4.2,178603,12
14,10,6,38,1,7607,45834,348659238,3.6,91061,14
9,3,2,8,1,8333,116468,970527844,2.3,121703,12
7,5,6,1,2,3877,59448,230479896,1.5,88800,10
4,6,6,40,2,4956,113482,562416792,4.3,69653,0
13,9,4,4,2,5598,86846,486163908,4.4,183143,1
9,7,5,16,2,6791,74494,505888754,3.9,63716,12
14,10,6,47,2,968,101137,97900616,1.8,120482,14
7,7,4,45,1,8217,109617,900722889,3.5,148268,10
8,6,6,16,2,5548,108637,602718076,4.4,33051,5
1,5,1,11,2,148,88181,13050788,2.9,163812,8
4,6,4,45,2,6447,79650,513503550,2.2,69698,0
13,3,4,48,2,6673,51627,344506971,3.6,156141,1
1,9,2,33,1,8127,99967,812431809,4.4,118309,8
5,11,5,11,1,9970,32120,320236400,1.7,64180,4
15,10,1,10,1,9832,91547,900090104,3.6,198246,6
4,7,1,42,2,3880,102818,398933840,3.8,198285,0
4,1,3,41,1,9951,49279,490375329,3.6,120789,0
8,1,3,19,1,7403,36571,270735113,3.8,178723,5
8,2,3,5,1,8537,96066,820115442,3.7,124371,5
12,3,5,10,2,4249,32119,136473631,2.0,126258,3
3,4,3,30,2,271,57691,15634261,2.3,126953,2
9,6,4,38,2,6974,96429,672495846,3.7,78678,12
4,7,3,40,2,2922,112644,329145768,1.6,190540,0
1,7,6,28,2,3433,49010,168251330,3.7,70187,8
14,9,1,48,2,6620,39793,263429660,3.8,35565,14
2,6,4,12,2,1476,101189,149354964,2.3,173100,11
3,6,4,34,2,4129,107968,445799872,3.6,68978,2
2,10,1,19,1,9128,51327,468512856,3.4,115144,11
13,6,1,39,2,3507,84635,296814945,2.4,58991,1
7,7,5,10,1,9106,77484,705569304,3.1,48040,10
1,6,5,21,2,3222,71328,229818816,4.7,149253,8
1,9,6,9,1,9331,72024,672055944,3.0,146541,8
3,9,6,21,2,5761,72436,417303796,3.7,123227,2
4,10,3,47,2,6920,93997,650459240,1.6,17798,0
5,1,4,14,2,6897,53862,371486214,1.8,18642,4
3,3,6,27,2,5139,105924,544343436,1.8,10590,2
2,5,2,41,2,1396,62719,87555724,4.2,31068,11
3,3,5,27,2,491,49919,24510229,2.7,197678,2
1,6,6,19,2,6640,71591,475364240,2.3,189931,8
5,9,5,47,1,8960,86328,773498880,4.1,127392,4
9,7,3,21,2,5542,42552,235823184,2.1,180074,12
10,6,5,22,1,7342,89156,654583352,2.4,191042,9
12,7,4,44,2,1057,79927,84482839,3.0,37616,3
11,8,4,48,1,7431,39495,293487345,2.7,75468,13
8,5,5,28,2,6150,38271,235366650,3.5,46076,5
3,3,2,40,1,9536,74435,709812160,2.7,21607,2
13,3,1,3,2,5141,103988,534602308,2.9,87564,1
15,8,1,16,2,1659,73953,122688027,4.5,66023,6
7,3,4,32,2,4699,106673,501256427,4.6,195047,10
10,8,6,47,2,6588,42738,281557944,4.4,152887,9
12,3,1,25,2,1474,53097,78264978,4.5,122956,3
12,11,4,3,2,2428,60936,147952608,3.5,27659,3
12,6,1,32,2,5065,87186,441597090,3.8,157700,3
12,1,1,7,1,9087,38861,353129907,3.5,133836,3
2,6,1,33,2,5817,33086,192461262,4.2,10678,11
13,7,1,24,2,3445,89868,309595260,3.4,84606,1
13,9,1,37,2,3372,87087,293657364,1.9,34635,1
5,2,2,14,1,7327,70057,513307639,4.3,191305,4
8,3,3,40,2,808,111173,89827784,4.2,17934,5
1,7,3,30,2,3076,56309,173206484,4.4,157249,8
12,7,2,26,2,6636,76909,510368124,2.2,184417,3
15,4,1,22,2,3606,58752,211859712,2.5,31798,6
1,2,2,10,2,1206,82447,99431082,2.5,145112,8
13,7,1,43,1,7058,80705,569615890,3.3,66862,1
14,2,4,2,1,9368,92666,868095088,2.0,49903,14
14,4,1,48,2,2069,65268,135039492,2.8,28668,14
15,2,1,1,2,6121,116846,715214366,2.1,61031,6
5,11,4,30,1,9792,114860,1124709120,2.4,135437,4
13,9,2,10,1,9612,43850,421486200,4.0,83959,1
15,4,6,16,1,8022,96859,777002898,4.5,198286,6
2,11,1,28,2,3205,107293,343874065,1.6,74914,11
3,5,2,19,2,249,58700,14616300,3.5,56293,2
15,3,6,33,1,7350,62253,457559550,1.6,60574,6
9,7,2,36,2,3581,100980,361609380,1.8,80289,12
1,5,2,37,2,381,78120,29763720,4.0,67272,8
10,5,2,17,2,3880,94839,367975320,4.1,54534,9
6,6,2,38,2,2815,100678,283408570,4.3,86002,7
5,1,5,47,1,9239,38170,352652630,3.2,165669,4
15,7,6,48,2,1036,79035,81880260,4.5,104441,6
13,6,4,48,2,5315,56836,302083340,2.1,190846,1
7,8,6,29,2,2976,33093,98484768,2.4,180096,10
14,3,2,36,2,1311,50319,65968209,2.0,191879,14
9,7,6,21,2,5952,108905,648202560,4.3,185093,12
8,2,6,13,2,3778,31212,117918936,2.3,187214,5
12,6,4,12,2,4298,72641,312211018,2.0,162323,3
6,1,5,16,1,8127,82957,674191539,3.7,69712,7
4,8,6,32,1,8772,91248,800427456,1.8,2655,0
5,3,1,13,2,3430,113110,387967300,1.7,66746,4
10,10,1,20,1,8483,34249,290534267,1.9,90245,9
6,4,2,32,2,6825,77120,526344000,1.5,7334,7
15,7,1,29,1,9134,79969,730436846,3.9,13275,6
2,7,4,10,2,125,101839,12729875,3.5,128136,11
14,9,6,7,2,5236,105887,554424332,2.2,187108,14
13,9,4,6,2,2466,31112,76722192,2.3,162977,1
14,4,4,27,2,4350,51743,225082050,4.3,52940,14
8,7,5,24,1,7920,102607,812647440,3.3,106294,5
2,2,5,20,2,113,113159,12786967,3.9,106314,11
12,8,1,30,2,2275,34852,79288300,3.1,139850,3
13,4,1,30,2,1714,96938,166151732,2.3,52061,1
1,9,2,17,1,9847,103663,1020769561,4.9,88027,8
11,6,1,30,2,4182,74108,309919656,3.5,196822,13
9,5,1,12,2,3244,48461,157207484,2.0,65212,12
14,3,3,15,2,6461,113525,733485025,2.9,35130,14
7,8,5,45,1,9520,111245,1059052400,2.7,129742,10
14,3,4,46,2,4579,61329,280825491,2.2,73482,14
6,9,6,31,1,7530,68638,516844140,4.8,32268,7
14,9,2,39,1,9850,116928,1151740800,4.6,53211,14
5,8,4,41,1,9122,100103,913139566,2.2,154481,4
14,4,4,13,2,1916,35576,68163616,2.7,147526,14
11,7,4,47,2,3813,52709,200979417,4.2,183658,13
11,10,2,18,2,6205,73410,455509050,2.2,131725,13
12,5,4,36,2,6688,40782,272750016,3.6,50949,3
10,10,5,40,2,1402,79002,110760804,3.9,20717,9
1,1,3,43,1,8273,38344,317219912,3.8,135036,8
7,8,5,17,1,7577,103056,780855312,4.0,29746,10
14,8,5,29,1,9098,60458,550046884,4.0,87426,14
14,5,5,20,2,4427,32486,143815522,4.9,28560,14
9,9,2,6,1,9311,65633,611108863,2.7,68627,12
13,6,6,27,2,3182,101460,322845720,4.6,95366,1
11,10,6,6,2,5797,115240,668046280,1.6,97680,13
7,3,6,20,2,577,114845,66265565,2.5,198457,10
12,10,5,24,2,3288,105938,348324144,1.7,129001,3
8,3,4,35,1,7041,42383,298418703,3.8,171481,5
10,2,6,20,2,5284,43439,229531676,1.9,60913,9
1,2,5,38,1,9454,59627,563713658,4.5,191604,8
2,1,1,45,2,6935,74501,516664435,3.8,45722,11
1,8,3,14,2,5058,81786,413673588,1.6,38412,8
5,6,4,39,1,7793,64007,498806551,4.0,175591,4
6,8,2,43,2,2353,36497,85877441,4.5,164356,7
5,11,1,23,2,4643,90061,418153223,3.8,45712,4
14,7,6,44,2,1252,49598,62096696,1.6,100516,14
4,10,4,24,2,1675,47994,80389950,4.5,57231,0
10,5,1,48,2,6177,52950,327072150,4.1,95889,9
6,5,3,44,2,4669,96914,452491466,2.8,55643,7
7,10,4,44,2,5178,98122,508075716,2.7,22417,10
2,5,1,11,1,8254,70907,585266378,3.2,193534,11
11,8,4,41,2,6712,96941,650667992,4.5,137855,13
10,2,1,23,2,2845,30074,85560530,2.4,6365,9
10,8,2,18,2,4997,88780,443633660,1.9,167647,9
5,6,3,1,1,7286,73453,535178558,4.5,105037,4
4,10,4,10,1,9124,107658,982271592,1.6,128016,0
14,11,5,32,2,5045,61914,312356130,4.7,7762,14
15,11,4,39,2,4709,116735,549705115,2.6,40764,6
12,10,5,33,2,1482,111742,165601644,3.3,24238,3
5,5,6,26,2,3134,64700,202769800,2.0,195911,4
10,3,3,44,2,6856,70672,484527232,4.7,134039,9
3,6,3,31,2,3730,47284,176369320,4.1,116572,2
9,8,5,6,1,8190,93837,768525030,4.7,194359,12
2,4,6,20,1,9067,74401,674593867,3.9,143864,11
12,6,4,42,2,5726,112265,642829390,2.1,37246,3
5,4,1,48,2,3284,71570,235035880,2.6,188234,4
2,2,5,24,1,7254,70118,508635972,3.2,110079,11
9,10,3,31,2,2377,80919,192344463,3.6,53579,12
8,5,1,45,2,1883,49840,93848720,4.7,164678,5
9,6,4,43,2,520,99478,51728560,2.8,137794,12
4,7,5,39,1,8913,71666,638759058,4.0,87263,0
9,10,6,20,2,2353,99512,234151736,4.9,86785,12
2,3,4,41,2,6169,55881,344729889,2.0,156944,11
1,5,6,8,2,113,109963,12425819,4.5,39593,8
2,9,5,8,2,2353,79299,186590547,3.0,162617,11
15,10,6,47,1,8132,46141,375218612,4.1,180348,6
14,7,5,16,2,1718,101553,174468054,2.5,97558,14
6,6,6,5,2,5481,115369,632337489,2.7,124960,7
1,11,5,36,1,7436,89763,667477668,1.6,28972,8
11,9,5,3,2,6327,117994,746548038,4.9,141616,13
6,10,1,4,2,5415,99138,536832270,4.3,42089,7
14,9,2,5,2,2737,107741,294887117,1.8,102510,14
5,7,5,26,2,4488,39207,175961016,5.0,64144,4
12,1,2,45,2,1849,52030,96203470,3.6,166252,3
15,9,1,27,2,6300,72271,455307300,4.5,106246,6
15,7,5,27,2,3108,42749,132863892,1.7,25059,6
11,8,6,32,2,2792,80312,224231104,2.9,49603,13
1,10,3,29,2,3901,89891,350664791,3.8,134173,8
4,10,1,1,2,897,62609,56160273,1.9,42153,0
13,10,5,42,2,3108,54036,167943888,3.2,136858,1
8,11,6,25,1,9003,116494,1048795482,3.0,199006,5
9,6,6,34,1,9454,116827,1104482458,2.3,190156,12
1,11,6,26,1,7064,115705,817340120,2.6,160714,8
12,1,2,17,2,4585,51552,236365920,4.9,128242,3
8,4,2,33,2,4515,32230,145518450,2.5,40052,5
15,2,1,41,1,9586,92606,887721116,2.2,126505,6
2,2,3,33,1,9597,97301,933797697,3.4,149450,11
12,2,6,4,1,9156,102381,937400436,3.8,164473,3
14,1,4,34,1,8440,39129,330248760,4.0,9951,14
11,6,2,42,2,2463,105042,258718446,4.1,146359,13
14,2,4,20,2,3398,48463,164677274,1.6,76908,14
13,11,4,26,1,8066,94959,765939294,2.9,167411,1
12,9,1,5,2,5829,106595,621342255,4.2,48241,3
7,3,3,48,2,6254,83106,519744924,4.7,95070,10
7,4,2,37,1,7608,116107,883342056,3.6,182618,10
5,3,4,33,2,2156,114790,247487240,1.7,158566,4
1,2,4,22,2,5098,42409,216201082,2.9,32573,8
15,7,1,30,2,5095,112394,572647430,1.8,138433,6
15,4,2,6,2,305,40062,12218910,4.1,30215,6
9,2,5,14,2,5960,68714,409535440,1.7,67114,12
9,6,5,47,2,3990,78565,313474350,2.2,154736,12
9,1,3,46,2,6844,76420,523018480,3.0,121611,12
2,8,3,17,2,2781,67269,187075089,3.1,74067,11
6,9,6,10,2,1386,110049,152527914,2.9,110631,7
10,6,2,3,1,7571,71905,544392755,3.1,187396,9
6,10,4,26,2,5863,31948,187311124,4.0,174519,7
14,11,2,3,1,7163,66518,476468434,2.8,36327,14
6,6,4,16,2,5037,102814,517874118,3.4,144332,7
2,1,3,40,1,8943,69488,621431184,2.6,163437,11
5,2,1,32,2,288,34401,9907488,2.7,111872,4
14,7,2,22,2,5184,35905,186131520,3.6,4768,14
6,3,5,35,1,8167,70778,578043926,3.2,84155,7
2,11,4,1,2,2195,60324,132411180,4.0,142408,11
10,7,3,33,2,3657,58708,214695156,3.5,117990,9
6,5,4,5,1,9121,91637,835821077,4.3,57377,7
2,2,6,43,2,4751,116643,554170893,3.1,136263,11
13,7,5,5,2,874,53115,46422510,3.2,112416,1
9,6,2,32,1,9890,82258,813531620,3.8,110051,12
13,4,4,36,1,7301,47128,344081528,2.3,179767,1
15,9,5,5,2,4242,37111,157424862,2.9,124134,6
9,5,5,19,2,3324,119792,398188608,3.7,124564,12
15,9,6,36,1,9284,67794,629399496,1.6,6634,6
3,10,2,23,2,5387,115537,622397819,3.0,81603,2
11,11,6,2,2,3309,81625,270097125,3.6,97667,13
13,4,5,4,1,7111,30463,216622393,4.9,109291,1
11,8,3,7,2,1625,101785,165400625,4.6,106672,13
11,5,6,28,2,489,93495,45719055,2.5,41594,13
10,10,1,32,1,7118,91829,653638822,3.3,95364,9
9,5,3,20,1,8924,114903,1025394372,1.7,71227,12
3,7,4,19,2,642,117363,75347046,2.3,26767,2
15,10,6,24,2,4366,95982,419057412,4.2,27979,6
2,5,1,48,2,1404,81725,114741900,1.9,170073,11
14,9,6,24,1,8358,62344,521071152,2.4,23577,14
2,6,4,46,2,3816,35561,135700776,4.8,121155,11
14,7,2,4,1,9680,59157,572639760,4.4,148730,14
13,8,4,25,1,7109,55419,393973671,4.2,80410,1
7,3,4,43,2,6211,84387,524127657,4.5,35380,10
2,11,4,9,2,1866,36457,68028762,4.1,183126,11
6,9,5,37,2,143,32190,4603170,1.9,5204,7
6,9,4,29,2,5802,85852,498113304,3.3,42159,7
1,3,1,26,2,5924,93537,554113188,3.1,143652,8
9,11,4,39,1,9184,56075,514992800,2.6,186337,12
14,10,1,17,2,4936,33486,165286896,4.4,25644,14
14,1,6,40,2,2849,74267,211586683,3.1,127690,14
12,1,1,9,2,5903,112462,663863186,1.7,21122,3
5,2,4,24,2,4541,62084,281923444,2.5,59781,4
9,10,5,23,1,9131,119952,1095281712,2.3,183685,12
10,4,5,39,2,3220,33593,108169460,4.6,126540,9
1,4,6,20,2,1909,85617,163442853,3.8,92316,8
10,3,1,39,2,6657,45543,303179751,3.5,6304,9
13,11,5,24,1,9966,100512,1001702592,3.3,54800,1
13,9,4,41,2,2930,94088,275677840,3.8,51128,1
10,2,3,37,1,9525,39377,375065925,4.1,86794,9
10,7,6,33,1,8543,41990,358720570,3.4,15994,9
3,2,6,4,2,2452,41946,102851592,4.8,89921,2
9,3,3,33,2,6148,40370,248194760,4.9,110369,12
10,6,6,34,1,8981,58429,524750849,5.0,69854,9
6,3,2,43,2,241,30284,7298444,3.8,113551,7
5,6,3,28,2,5760,76201,438917760,4.8,159467,4
5,8,2,2,2,6726,59712,401622912,2.9,180136,4
11,11,2,7,1,8241,85468,704341788,4.5,109348,13
7,2,3,6,2,4321,82911,358258431,4.7,144533,10
13,11,1,20,2,6736,54649,368115664,4.7,32173,1
14,1,6,7,1,9841,35915,353439515,4.4,102278,14
12,8,3,32,2,904,54134,48937136,2.9,162609,3
4,5,3,24,2,4431,84569,374725239,2.1,43892,0
14,4,6,30,1,7521,92721,697354641,2.7,185870,14
7,1,4,7,2,4611,87621,404020431,4.2,134531,10
12,1,2,10,2,6866,76581,525805146,2.3,194391,3
3,6,3,33,1,8095,63248,511992560,3.2,118028,2
9,10,3,20,2,1818,118934,216222012,3.5,155164,12
2,10,2,34,2,1054,104651,110302154,3.6,167951,11
9,6,4,22,2,3307,93319,308605933,4.8,135680,12
14,8,3,41,2,6000,30946,185676000,3.8,20833,14
14,9,6,7,1,7103,45093,320295579,4.3,169423,14
12,5,2,5,2,1942,66769,129665398,3.5,52191,3
12,1,5,12,2,2018,84946,171421028,4.4,82062,3
13,1,4,1,2,5122,46751,239458622,2.4,181200,1
3,7,6,45,2,2118,41380,87642840,2.2,16720,2
13,8,2,13,1,9240,35130,324601200,4.7,26402,1
7,10,4,20,1,8800,74147,652493600,3.9,185012,10
10,2,5,18,2,3942,71187,280619154,3.9,137116,9
9,8,5,34,2,6344,36190,229589360,3.1,125303,12
12,8,4,44,2,634,31385,19898090,2.8,72907,3
15,1,4,47,2,398,48896,19460608,3.4,96313,6
7,11,1,36,1,7978,111758,891605324,1.9,114324,10
6,3,5,34,2,6565,112367,737689355,3.1,37926,7
3,3,4,30,1,9374,42468,398095032,3.1,1536,2
14,2,2,45,2,2613,94124,245946012,3.4,58700,14
13,4,4,39,2,5453,102861,560901033,3.7,33111,1
7,6,3,39,2,867,76421,66257007,4.9,154711,10
4,2,6,17,2,6665,97980,653036700,3.8,145740,0
9,11,6,29,2,101,53320,5385320,4.6,17763,12
12,2,4,44,2,4938,31016,153157008,3.4,158596,3
14,7,6,34,2,5754,32634,187776036,3.7,70582,14
2,1,6,41,2,1560,82139,128136840,1.7,164685,11
4,5,4,38,2,4545,35232,160129440,2.0,32207,0
3,2,3,29,2,5532,117586,650485752,3.5,36421,2
7,5,6,3,2,6074,90079,547139846,2.9,109953,10
1,6,6,13,1,9417,55483,522483411,4.3,45420,8
14,4,4,45,2,3588,110072,394938336,3.4,169022,14
9,3,4,15,2,1251,46723,58450473,4.6,71247,12
11,7,1,18,1,9105,98433,896232465,4.9,133987,13
15,9,6,5,1,7876,52655,414710780,2.0,54511,6
8,7,1,36,1,7317,58531,428271327,2.9,190036,5
4,11,3,9,2,1983,113647,225362001,3.8,11344,0
10,5,3,26,2,5817,112693,655535181,2.6,166487,9
8,1,3,31,1,7231,100148,724170188,2.4,121797,5
9,5,1,42,2,222,82901,18404022,4.3,124001,12
6,10,5,44,1,7313,67998,497269374,4.9,40442,7
13,10,3,36,2,1786,41659,74402974,4.2,2005,1
